Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Potential Microfinance Market
12/31/2006,PUNJAB,D.G. Khan,3,0,"3,685",77425676,15366,29953716,419252
12/31/2006,PUNJAB,Faisalabad,51,0,"36,028",281848862,47491,2793277,1096924
12/31/2006,PUNJAB,Gujranwala,19,0,"30,344",357904966,20907,652971,735741
12/31/2006,PUNJAB,Gujrat,3,0,"1,601",12528470,8864,1963653,446630
12/31/2006,PUNJAB,Hafizabad,2,0,900,8133590,5954,978280,231170
12/31/2006,PUNJAB,Jhang,2,0,"1,130",8517826,11944,2712492,626546
12/31/2006,PUNJAB,Jhelum,17,0,"4,850",38189528,13590,15815561,170498
12/31/2006,PUNJAB,Kasur,21,0,"30,092",272510383,25182,1745465,586427
12/31/2006,PUNJAB,Khanewal,4,0,"2,331",19278334,762,176330,432948
12/31/2006,PUNJAB,Khushab,23,0,"8,651",85825144,34558,47273864,235163
12/31/2006,PUNJAB,Lahore,86,0,"113,696",1162573900,85364,21777127,872760
12/31/2006,PUNJAB,Leyyah,3,0,"1,143",12206781,0,0,263251
12/31/2006,PUNJAB,Lodhran,11,0,"9,476",143630184,22980,38433025,261693
12/31/2006,PUNJAB,Mandi Bahauddin,3,0,"1,257",10798750,8802,2364359,44983
12/31/2006,PUNJAB,Mianwali,20,0,"7,618",56938106,8008,800220,252413
12/31/2006,PUNJAB,Multan,24,0,"11,272",90899158,1566,6908675,689339
12/31/2006,PUNJAB,Muzaffargarh,2,0,"5,565",32241222,0,0,570580
12/31/2006,PUNJAB,Nankana Sahib,6,0,"6,110",37138280,0,0,-
12/31/2006,PUNJAB,Narowal,9,0,"5,121",26645836,0,0,268902
12/31/2006,PUNJAB,Okara,11,0,"13,886",110962658,23756,5238732,509842
12/31/2006,PUNJAB,Pakpattan,4,0,"1,955",16638551,8839,4980854,281988
12/31/2006,PUNJAB,Rahimyar Khan,16,0,"12,845",168637219,20230,45050591,585705
12/31/2006,PUNJAB,Rajanpur,4,0,"4,346",53772087,9429,37130695,260436
12/31/2006,PUNJAB,Rawalpindi,41,0,"22,959",199980650,36397,50333568,327457
12/31/2006,PUNJAB,Sahiwal,9,0,"9,119",77905128,25874,6699273,395468
12/31/2006,PUNJAB,Sargodha,10,0,"8,076",65242586,28819,2974854,671679
12/31/2006,PUNJAB,Sheikhupura,17,0,"26,706",276103968,20271,3011176,831522
12/31/2006,PUNJAB,Sialkot,7,0,"4,608",24441802,0,0,501997
12/31/2006,PUNJAB,Toba Tek Singh,3,0,"2,274",11663282,14198,958292,309316
12/31/2006,PUNJAB,Vihari,5,0,"7,108",109969876,24088,18990704,475398
12/31/2006,PUNJAB,Total,566,0,"469,971",4709670235,678428,664307467,14980536
12/31/2006,SINDH,Badin,27,0,"4,976",57065823,42586,25764711,294781
12/31/2006,SINDH,Dadu,6,0,"7,294",55812895,21204,9713000,447305
12/31/2006,SINDH,Ghotki,-,-,-,-,-,-,248442
12/31/2006,SINDH,Hyderabad,38,0,"10,975",117649294,17278,29591260,517652
12/31/2006,SINDH,Jacobabad,1,0,591,23395000,520,420300,361146
12/31/2006,SINDH,Jamshoro,4,0,"5,535",41346408,17349,7947000,-
12/31/2006,SINDH,Karachi,65,2,"52,307",961415033,37726,847381586,1329990
12/31/2006,SINDH,Khairpur,5,0,"17,173",170569077,23189,10363000,401853
12/31/2006,SINDH,Larkana,1,0,337,18296000,206,82820,534891
12/31/2006,SINDH,Matyari,2,-,"2,305",13802536,-,-,-
12/31/2006,SINDH,Mirpur Khas,14,0,"4,962",53847032,31215,5151555,210494
12/31/2006,SINDH,Naushahro Feroze,0,0,"1,094",8005461,0,0,266462
12/31/2006,SINDH,Nawabshah,5,1,"5,345",42460802,2219,4287841,225430
12/31/2006,SINDH,Sanghar,8,1,"11,181",72950499,2510,587000,354133
12/31/2006,SINDH,Shehdad Kot,1,0,202,21998000,285,76800,-
12/31/2006,SINDH,Shikarpur,1,0,260,3000000,256,149400,237633
12/31/2006,SINDH,Sukkur,0,0,494,3199361,0,0,213080
12/31/2006,SINDH,Tando Allahyar,3,0,"5,306",39005967,4918,2204674,-
12/31/2006,SINDH,Tharparkar,20,-,"14,561",105208182,109674,65660000,245046
12/31/2006,SINDH,Thatta,13,-,"2,595",22130596,12631,11091484,283491
12/31/2006,SINDH,Umar Kot,11,-,"8,883",55584420,31558,20320000,185966
12/31/2006,SINDH,Total,225,4,"156,376",1886742386,355212,1040792431,6357795
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Bagh,2,0,"2,251",16944744,5378,1371632,N/A
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Bhimber,-,-,-,-,-,-,N/A
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Kotli,8,0,"2,586",19507963,7945,548677,N/A
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Mirpur,-,-,-,-,-,-,N/A
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Muzaffarabad,2,0,265,3073845,6205,429225,N/A
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Neelum,-,-,-,-,-,-,N/A
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Poonch,3,0,494,16152346,19108,1440557,N/A
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Sudhnati,1,0,306,4607830,5505,929210,N/A
12/31/2006,AZAD JAMMU AND KASHMIR (AJK),Total,16,0,"5,902",60286728,44141,4719301,N/A
12/31/2006,GILGIT-BALTISTAN (GB),Astore,1,0,"1,142",31176000,0,0,N/A
12/31/2006,GILGIT-BALTISTAN (GB),Diamer,-,-,-,-,-,-,N/A
12/31/2006,GILGIT-BALTISTAN (GB),Ghanche,1,0,750,21212000,2511,64056000,N/A
12/31/2006,GILGIT-BALTISTAN (GB),Ghizer,2,0,"3,323",60050000,2794,24610000,N/A
12/31/2006,GILGIT-BALTISTAN (GB),Gilgit,3,0,"4,946",139608000,7860,70054000,N/A
12/31/2006,GILGIT-BALTISTAN (GB),Skardu,3,0,"2,691",57853000,3157,52722000,N/A
12/31/2006,GILGIT-BALTISTAN (GB),Total,10,0,"12,852",309899000,16322,211442000,N/A
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Bajaur Agency,-,-,-,-,-,-,-
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Khyber Agency,-,-,-,-,-,-,-
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Kurram Agency,-,-,-,-,-,-,-
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Mohmand Agency,-,-,-,-,-,-,-
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),North Waziristan Agency,-,-,-,-,-,-,-
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Orakzai Agency,-,-,-,-,-,-,-
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),South Waziristan Agency,-,-,-,-,-,-,-
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),,-,-,-,-,-,-,-
12/31/2006,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Total,-,-,-,-,-,-,-
12/31/2006,ISLAMABAD CAPITAL TERRITORY (ICT),ICT,9,0,"2,649",36459079,10459,173049063,74750
12/31/2006,ISLAMABAD CAPITAL TERRITORY (ICT),Total,9,0,"2,649",36459079,10459,173049063,74750
